Link Delay,Node Delay,Link Total Time,Link Total Event,Link Total Epoch,Link CPA,Link Concurrency(CPA),Link Concurrency (YAWN),Link LP Count,Link Max events per LP per epoch,Node Total Time,Node Total Event,Node Total Epoch,Node CPA,Node Concurrecy (CPA),Node Concurrency (YAWN),Node LP Count,Node Max events per LP per epoch
1,1,269,46612,38,227,205.339207,1226.631579,50041,31,6254,46612,38,5510,8.459528,1226.631579,49999,804
2,1,300,46612,55,227,205.339207,847.490909,50041,25,6261,46612,28,5734,8.129055,1664.714286,49999,1086
3,1,319,46612,71,227,205.339207,656.507042,50041,24,6260,46612,25,5811,8.021339,1864.480000,49999,1432
4,1,336,46612,85,227,205.339207,548.376471,50041,24,6259,46612,23,5855,7.961059,2026.608696,49999,1236
5,1,351,46612,98,227,205.339207,475.632653,50041,24,6258,46612,22,5851,7.966501,2118.727273,49999,1517
6,1,358,46612,105,227,205.339207,443.923810,50041,24,6256,46612,20,5851,7.966501,2330.600000,49999,1612
7,1,358,46612,105,227,205.339207,443.923810,50041,24,6256,46612,19,5851,7.966501,2453.263158,49999,1642
8,1,358,46612,105,227,205.339207,443.923810,50041,24,6256,46612,19,5851,7.966501,2453.263158,49999,1642
9,1,358,46612,105,227,205.339207,443.923810,50041,24,6256,46612,19,5851,7.966501,2453.263158,49999,1642
10,1,358,46612,105,227,205.339207,443.923810,50041,24,6256,46612,19,5851,7.966501,2453.263158,49999,1642
15,1,358,46612,105,227,205.339207,443.923810,50041,24,6256,46612,19,5851,7.966501,2453.263158,49999,1642
20,1,358,46612,105,227,205.339207,443.923810,50041,24,6256,46612,19,5851,7.966501,2453.263158,49999,1642
25,1,358,46612,105,227,205.339207,443.923810,50041,24,6256,46612,19,5851,7.966501,2453.263158,49999,1642
30,1,358,46612,105,227,205.339207,443.923810,50041,24,6256,46612,19,5851,7.966501,2453.263158,49999,1642
35,1,358,46612,105,227,205.339207,443.923810,50041,24,6256,46612,19,5851,7.966501,2453.263158,49999,1642
40,1,358,46612,105,227,205.339207,443.923810,50041,24,6256,46612,19,5851,7.966501,2453.263158,49999,1642
45,1,358,46612,105,227,205.339207,443.923810,50041,24,6256,46612,19,5851,7.966501,2453.263158,49999,1642
50,1,358,46612,105,227,205.339207,443.923810,50041,24,6256,46612,19,5851,7.966501,2453.263158,49999,1642
