Link Delay,Node Delay,Link Total Time,Link Total Event,Link Total Epoch,Link CPA,Link Concurrency(CPA),Link Concurrency (YAWN),Link LP Count,Link Max events per LP per epoch,Node Total Time,Node Total Event,Node Total Epoch,Node CPA,Node Concurrecy (CPA),Node Concurrency (YAWN),Node LP Count,Node Max events per LP per epoch
1,1,191,78392,28,154,509.038961,2799.714286,72208,34,4434,78392,28,4219,18.580706,2799.714286,50000,856
2,1,224,78392,41,153,512.366013,1912.000000,72208,34,4441,78392,21,4218,18.585111,3732.952381,50000,1503
3,1,252,78392,54,153,512.366013,1451.703704,72208,34,4441,78392,19,4218,18.585111,4125.894737,50000,1197
4,1,268,78392,66,153,512.366013,1187.757576,72208,34,4441,78392,18,4218,18.585111,4355.111111,50000,1505
5,1,281,78392,77,153,512.366013,1018.077922,72208,34,4441,78392,17,4218,18.585111,4611.294118,50000,1648
6,1,293,78392,87,153,512.366013,901.057471,72208,34,4442,78392,17,4218,18.585111,4611.294118,50000,1662
7,1,293,78392,87,153,512.366013,901.057471,72208,34,4441,78392,15,4218,18.585111,5226.133333,50000,1686
8,1,293,78392,87,153,512.366013,901.057471,72208,34,4441,78392,15,4218,18.585111,5226.133333,50000,1686
9,1,293,78392,87,153,512.366013,901.057471,72208,34,4441,78392,15,4218,18.585111,5226.133333,50000,1686
10,1,293,78392,87,153,512.366013,901.057471,72208,34,4441,78392,15,4218,18.585111,5226.133333,50000,1686
15,1,293,78392,87,153,512.366013,901.057471,72208,34,4441,78392,15,4218,18.585111,5226.133333,50000,1686
20,1,293,78392,87,153,512.366013,901.057471,72208,34,4441,78392,15,4218,18.585111,5226.133333,50000,1686
25,1,293,78392,87,153,512.366013,901.057471,72208,34,4441,78392,15,4218,18.585111,5226.133333,50000,1686
30,1,293,78392,87,153,512.366013,901.057471,72208,34,4441,78392,15,4218,18.585111,5226.133333,50000,1686
35,1,293,78392,87,153,512.366013,901.057471,72208,34,4441,78392,15,4218,18.585111,5226.133333,50000,1686
40,1,293,78392,87,153,512.366013,901.057471,72208,34,4441,78392,15,4218,18.585111,5226.133333,50000,1686
45,1,293,78392,87,153,512.366013,901.057471,72208,34,4441,78392,15,4218,18.585111,5226.133333,50000,1686
50,1,293,78392,87,153,512.366013,901.057471,72208,34,4441,78392,15,4218,18.585111,5226.133333,50000,1686
